Tipo de evento,Código de evento,Fecha de evento,N.º total de impresiones,Versión del firmware,Ayuda
Info,34.02.01,11-abr-2026 19:27:28,42100,2509087_000074,
Info,34.02.01,11-abr-2026 19:26:24,42100,2509087_000074,
Info,34.02.01,11-abr-2026 19:22:40,42100,2509087_000074,
Info,34.02.01,11-abr-2026 19:13:50,42100,2509087_000074,
Info,34.02.01,11-abr-2026 19:13:49,42100,2509087_000074,
Info,34.02.01,11-abr-2026 12:11:01,42057,2509087_000074,
Info,34.02.01,11-abr-2026 1:07:42,42027,2509087_000074,
Info,34.02.01,10-abr-2026 20:45:47,42015,2509087_000074,
Info,34.02.01,10-abr-2026 20:45:18,42015,2509087_000074,
Info,34.02.01,10-abr-2026 19:26:03,41996,2509087_000074,
Info,34.02.01,10-abr-2026 19:26:02,41996,2509087_000074,
Info,34.02.01,10-abr-2026 19:22:31,41992,2509087_000074,
Info,34.02.01,10-abr-2026 19:22:30,41992,2509087_000074,
Info,34.02.01,10-abr-2026 19:13:27,41992,2509087_000074,
Info,34.02.01,10-abr-2026 11:28:39,41873,2509087_000074,
Info,34.02.01,10-abr-2026 1:07:26,41772,2509087_000074,
Info,34.02.01,10-abr-2026 1:07:25,41772,2509087_000074,
Info,34.02.01,09-abr-2026 20:45:09,41772,2509087_000074,
Info,34.02.01,09-abr-2026 20:44:31,41772,2509087_000074,
Info,34.02.01,09-abr-2026 19:25:46,41750,2509087_000074,
Info,34.02.01,09-abr-2026 19:22:14,41750,2509087_000074,
Info,34.02.01,09-abr-2026 19:13:11,41750,2509087_000074,
Info,34.02.01,09-abr-2026 8:57:05,41564,2509087_000074,
Info,34.02.01,09-abr-2026 1:07:13,41514,2509087_000074,
Info,34.02.01,08-abr-2026 20:44:26,41499,2509087_000074,
Info,34.02.01,08-abr-2026 20:43:36,41499,2509087_000074,
Info,34.02.01,08-abr-2026 19:25:32,41473,2509087_000074,
Info,34.02.01,08-abr-2026 19:22:01,41473,2509087_000074,
Info,34.02.01,08-abr-2026 19:12:44,41466,2509087_000074,
Info,34.02.01,08-abr-2026 5:51:04,41251,2509087_000074,
Info,34.02.01,08-abr-2026 5:51:03,41251,2509087_000074,
Info,34.02.01,08-abr-2026 1:06:44,41243,2509087_000074,
Info,34.02.01,07-abr-2026 20:43:19,41231,2509087_000074,
Info,34.02.01,07-abr-2026 20:42:50,41231,2509087_000074,
Info,34.02.01,07-abr-2026 20:42:49,41231,2509087_000074,
Info,34.02.01,07-abr-2026 19:25:21,41229,2509087_000074,
Info,34.02.01,07-abr-2026 19:25:20,41229,2509087_000074,
Info,34.02.01,07-abr-2026 19:21:35,41226,2509087_000074,
Info,34.02.01,07-abr-2026 19:12:16,41223,2509087_000074,
Info,34.02.01,07-abr-2026 2:40:14,40974,2509087_000074,
Info,34.02.01,07-abr-2026 2:40:13,40974,2509087_000074,
Info,34.02.01,07-abr-2026 1:06:31,40970,2509087_000074,
Info,34.02.01,07-abr-2026 1:06:29,40970,2509087_000074,
Info,34.02.01,06-abr-2026 20:42:35,40970,2509087_000074,
Info,34.02.01,06-abr-2026 20:42:04,40970,2509087_000074,
Info,34.02.01,06-abr-2026 19:25:06,40959,2509087_000074,
Info,34.02.01,06-abr-2026 19:21:19,40959,2509087_000074,
Info,34.02.01,06-abr-2026 19:12:03,40953,2509087_000074,
Info,34.02.01,06-abr-2026 19:12:02,40953,2509087_000074,
Info,34.02.01,06-abr-2026 1:06:10,40785,2509087_000074,
Info,34.02.01,06-abr-2026 0:02:42,40785,2509087_000074,
Info,34.02.01,06-abr-2026 0:02:41,40785,2509087_000074,
Info,34.02.01,05-abr-2026 20:42:00,40785,2509087_000074,
Info,34.02.01,05-abr-2026 20:41:25,40785,2509087_000074,
Info,34.02.01,05-abr-2026 19:24:52,40785,2509087_000074,
Info,34.02.01,05-abr-2026 19:11:35,40785,2509087_000074,
Info,34.02.01,05-abr-2026 19:11:34,40785,2509087_000074,
Info,34.02.01,05-abr-2026 1:05:59,40785,2509087_000074,
Info,34.02.01,05-abr-2026 1:05:57,40785,2509087_000074,
Info,34.02.01,04-abr-2026 22:52:54,40785,2509087_000074,
Info,34.02.01,04-abr-2026 20:41:03,40781,2509087_000074,
Info,34.02.01,04-abr-2026 20:40:29,40781,2509087_000074,
Info,33.27.01,04-abr-2026 19:26:00,40780,2509087_000074,"Errors in the 33.* family are related to the printer’s storage system or the formatter. The component might have been previously installed in another printer and is therefore locked to the other printer. Or, the component might be incorrect for this printer."
Info,33.27.01,04-abr-2026 19:25:59,40780,2509087_000074,"Errors in the 33.* family are related to the printer’s storage system or the formatter. The component might have been previously installed in another printer and is therefore locked to the other printer. Or, the component might be incorrect for this printer."
Info,34.02.01,04-abr-2026 19:25:48,40780,2509087_000074,
Info,34.02.01,04-abr-2026 19:25:47,40780,2509087_000074,
Info,34.02.01,04-abr-2026 19:24:43,40780,2509087_000074,
Info,34.02.01,04-abr-2026 19:20:59,40780,2509087_000074,
Info,34.02.01,04-abr-2026 19:20:57,40780,2509087_000074,
